user_id,item_id
14152,101268199
14152,264469913
14152,297534053
18169,14742026
18169,130419937
18169,135104537
18169,182983546
18169,276874320
18169,321666997
19095,1160732
19095,5488213
19095,7758632
19095,24592214
19095,25510737
19095,29086158
19095,40285277
19095,86004839
19095,104281712
19095,117110799
19095,124517729
19095,130149479
19095,135202739
19095,139230992
19095,140000262
19095,143741074
19095,147792578
19095,157314992
19095,158003019
19095,199480234
19095,200306602
19095,200961283
19095,206663996
19095,217232588
19095,219690249
19095,233165169
19095,239253448
19095,243091690
19095,245934818
19095,247416105
19095,253555260
19095,254461105
19095,255017012
19095,255820525
19095,257156948
19095,263146256
19095,273247557
19095,284807602
19095,288181612
19095,291531658
19095,292892569
19095,297890139
19095,302835193
19095,303535113
19095,343109466
19095,348415479
19095,351145288
19095,352508338
19095,353028709
19095,357835579
19095,367265757
19095,374886283
19095,375242231
19095,375387338
20401,329330903
38568,313891623
49928,16358948
49928,73006934
49928,110612521
49928,125212556
49928,194770617
49928,259013587
49928,270882795
49928,303205878
49928,374214353
49928,374235261
49928,396028808
61168,6806499
61168,8779008
61168,21916616
61168,43029475
61168,47711763
61168,92099389
61168,104202558
61168,106507964
61168,129968678
61168,141086776
61168,144589112
61168,147844646
61168,152990597
61168,162374084
61168,173188201
61168,198558610
61168,199754519
61168,216189219
61168,220850746
61168,233740338
61168,240844105
61168,244896391
61168,249748293
61168,257070581
61168,262629696
61168,279161444
61168,279721697
61168,285259585
61168,287518208
61168,297937458
61168,311499944
61168,343133803
61168,357113339
61168,357945456
61168,370626465
61168,372399781
61168,373528799
61168,378066157
61168,394532140
73858,7333179
73858,40001665
73858,280054537
73858,347738023
86174,151377518
86174,220538191
86174,262231580
86174,292454294
86174,296469249
86174,310577673
128463,5488213
128463,34102362
128463,46523308
128463,56592382
128463,62305016
128463,72511722
128463,76627087
128463,95717148
128463,118365800
128463,154716809
128463,159855611
128463,182543141
128463,187350700
128463,206565604
128463,223932149
128463,227258167
128463,227649173
128463,239253448
128463,264469913
128463,284807602
128463,295359973
128463,323888124
128463,348415479
128463,351145288
128463,355049863
128463,361681874
128463,374890725
128463,390001730
128463,393121183
128463,400164763
135349,71796857
158516,250382098
205463,127286543
205463,138334799
205463,205405880
205463,223761680
205463,277922302
205463,357643165
229807,32434696
229807,34975074
229807,119682290
229807,150015674
229807,154354707
229807,189130043
229807,214254685
229807,222687498
229807,341537933
229807,381408303
230169,12489944
230169,151919189
230169,200072022
230169,234039455
230169,266315828
230169,275003733
230169,287495187
230169,314295535
230169,329206214
230169,376282224
230326,58727293
230326,65347713
230326,76932232
230326,96054474
230326,110998572
230326,120766679
230326,125065139
230326,186402589
230326,205015444
230326,208715196
230326,223293993
230326,242653706
230326,244596513
